timestamp,line_id,shift,total_produced,total_defects,defect_rate,defect_type,rework_count,scrap_count
2023-12-25 17:43:47.962809,L1,1,10893,416,3.82,Deformation,124,291
2023-12-26 01:43:47.962809,L1,2,9142,309,3.39,Contamination,92,216
2023-12-26 09:43:47.962809,L1,3,9647,392,4.07,Contamination,117,274
2023-12-25 17:43:47.962809,L2,1,8465,638,7.55,Defaut_Surface,191,446
2023-12-26 01:43:47.962809,L2,2,9225,517,5.61,Deformation,155,361
2023-12-26 09:43:47.962809,L2,3,8490,226,2.67,Contamination,67,158
2023-12-25 17:43:47.962809,L3,1,11432,145,1.27,Deformation,43,101
2023-12-26 01:43:47.962809,L3,2,11121,385,3.47,Dimension_Hors_Tolerance,115,269
2023-12-26 09:43:47.962809,L3,3,10780,416,3.86,Dimension_Hors_Tolerance,124,291
2023-12-26 17:43:47.962809,L1,1,9840,566,5.75,Contamination,169,396
2023-12-27 01:43:47.962809,L1,2,9424,674,7.16,Contamination,202,471
2023-12-27 09:43:47.962809,L1,3,8556,183,2.15,Contamination,54,128
2023-12-26 17:43:47.962809,L2,1,8407,119,1.42,Defaut_Surface,35,83
2023-12-27 01:43:47.962809,L2,2,11107,455,4.1,Contamination,136,318
2023-12-27 09:43:47.962809,L2,3,10465,309,2.95,Pliage_Incorrect,92,216
2023-12-26 17:43:47.962809,L3,1,9711,554,5.71,Defaut_Surface,166,387
2023-12-27 01:43:47.962809,L3,2,9830,700,7.13,Deformation,210,489
2023-12-27 09:43:47.962809,L3,3,10446,137,1.32,Dimension_Hors_Tolerance,41,95
2023-12-27 17:43:47.962809,L1,1,9044,303,3.35,Pliage_Incorrect,90,212
2023-12-28 01:43:47.962809,L1,2,9799,213,2.18,Defaut_Surface,63,149
2023-12-28 09:43:47.962809,L1,3,10832,736,6.8,Dimension_Hors_Tolerance,220,515
2023-12-27 17:43:47.962809,L2,1,10463,747,7.14,Pliage_Incorrect,224,522
2023-12-28 01:43:47.962809,L2,2,8013,392,4.9,Deformation,117,274
2023-12-28 09:43:47.962809,L2,3,9016,335,3.73,Impression_Defectueuse,100,234
2023-12-27 17:43:47.962809,L3,1,8456,650,7.69,Impression_Defectueuse,195,454
2023-12-28 01:43:47.962809,L3,2,10431,376,3.61,Pliage_Incorrect,112,263
2023-12-28 09:43:47.962809,L3,3,11161,741,6.64,Defaut_Surface,222,518
2023-12-28 17:43:47.962809,L1,1,9056,121,1.34,Pliage_Incorrect,36,84
2023-12-29 01:43:47.962809,L1,2,8202,165,2.02,Contamination,49,115
