stop_id,line_id,machine_id,stop_type,start_time,end_time,duration_minutes,description,operator,resolved
1,L1,M1-1,Bourrage,2024-01-02 15:55:01.240844,2024-01-02 16:06:01.240844,11,Bourrage sur M1-1,OP6,True
2,L1,M1-2,Attente_Operateur,2024-01-02 17:09:01.240844,2024-01-02 17:36:01.240844,27,Attente_Operateur sur M1-2,OP1,True
3,L1,M1-2,Probleme_Qualite,2024-01-02 07:05:01.240844,2024-01-02 08:46:01.240844,101,Probleme_Qualite sur M1-2,OP2,True
4,L1,M1-3,Probleme_Qualite,2024-01-02 18:52:01.240844,2024-01-02 20:32:01.240844,100,Probleme_Qualite sur M1-3,OP11,True
5,L1,M1-1,Maintenance_Preventive,2024-01-02 11:55:01.240844,2024-01-02 15:03:01.240844,188,Maintenance_Preventive sur M1-1,OP12,True
6,L1,M1-1,Maintenance_Preventive,2024-01-02 14:01:01.240844,2024-01-02 16:01:01.240844,120,Maintenance_Preventive sur M1-1,OP12,True
7,L1,M1-2,Maintenance_Preventive,2024-01-02 05:53:01.240844,2024-01-02 07:23:01.240844,90,Maintenance_Preventive sur M1-2,OP2,True
8,L1,M1-1,Panne_Mecanique,2024-01-02 13:30:01.240844,2024-01-02 16:26:01.240844,176,Panne_Mecanique sur M1-1,OP1,True
9,L1,M1-1,Panne_Mecanique,2024-01-02 15:14:01.240844,2024-01-02 15:34:01.240844,20,Panne_Mecanique sur M1-1,OP5,True
10,L1,M1-2,Attente_Operateur,2024-01-02 11:39:01.240844,2024-01-02 11:52:01.240844,13,Attente_Operateur sur M1-2,OP12,True
11,L2,M2-3,Attente_Materiel,2024-01-02 20:09:01.240844,2024-01-02 20:43:01.240844,34,Attente_Materiel sur M2-3,OP6,True
12,L2,M2-1,Attente_Materiel,2024-01-02 13:14:01.240844,2024-01-02 14:03:01.240844,49,Attente_Materiel sur M2-1,OP13,True
13,L2,M2-3,Attente_Operateur,2024-01-02 12:56:01.240844,2024-01-02 13:08:01.240844,12,Attente_Operateur sur M2-3,OP10,True
14,L2,M2-4,Panne_Mecanique,2024-01-02 07:21:01.240844,2024-01-02 08:40:01.240844,79,Panne_Mecanique sur M2-4,OP7,True
15,L2,M2-3,Changement_Format,2024-01-02 18:45:01.240844,2024-01-02 20:12:01.240844,87,Changement_Format sur M2-3,OP12,True
16,L2,M2-2,Attente_Operateur,2024-01-02 06:39:01.240844,2024-01-02 06:52:01.240844,13,Attente_Operateur sur M2-2,OP9,True
17,L2,M2-1,Attente_Operateur,2024-01-02 13:15:01.240844,2024-01-02 13:20:01.240844,5,Attente_Operateur sur M2-1,OP14,True
18,L3,M3-1,Attente_Operateur,2024-01-02 19:09:01.240844,2024-01-02 19:28:01.240844,19,Attente_Operateur sur M3-1,OP14,True
19,L3,M3-2,Reglage,2024-01-02 15:26:01.240844,2024-01-02 15:54:01.240844,28,Reglage sur M3-2,OP5,True
20,L3,M3-2,Bourrage,2024-01-02 18:59:01.240844,2024-01-02 19:14:01.240844,15,Bourrage sur M3-2,OP1,True
21,L3,M3-2,Bourrage,2024-01-02 05:44:01.240844,2024-01-02 06:07:01.240844,23,Bourrage sur M3-2,OP11,True
22,L3,M3-1,Nettoyage,2024-01-02 07:20:01.240844,2024-01-02 07:43:01.240844,23,Nettoyage sur M3-1,OP8,True
23,L1,M1-1,Attente_Materiel,2024-01-03 09:58:01.240844,2024-01-03 10:54:01.240844,56,Attente_Materiel sur M1-1,OP1,True
24,L1,M1-3,Reglage,2024-01-03 11:48:01.240844,2024-01-03 12:16:01.240844,28,Reglage sur M1-3,OP10,True
25,L1,M1-3,Probleme_Qualite,2024-01-03 17:02:01.240844,2024-01-03 17:30:01.240844,28,Probleme_Qualite sur M1-3,OP10,True
26,L1,M1-1,Nettoyage,2024-01-03 05:55:01.240844,2024-01-03 06:34:01.240844,39,Nettoyage sur M1-1,OP3,True
27,L1,M1-2,Bourrage,2024-01-03 04:54:01.240844,2024-01-03 04:59:01.240844,5,Bourrage sur M1-2,OP1,True
28,L1,M1-2,Panne_Mecanique,2024-01-03 04:52:01.240844,2024-01-03 07:15:01.240844,143,Panne_Mecanique sur M1-2,OP13,True
29,L1,M1-1,Probleme_Qualite,2024-01-03 04:20:01.240844,2024-01-03 05:18:01.240844,58,Probleme_Qualite sur M1-1,OP13,True
30,L2,M2-4,Bourrage,2024-01-03 09:50:01.240844,2024-01-03 10:05:01.240844,15,Bourrage sur M2-4,OP5,True
31,L2,M2-2,Attente_Operateur,2024-01-03 17:08:01.240844,2024-01-03 17:24:01.240844,16,Attente_Operateur sur M2-2,OP6,True
32,L2,M2-4,Attente_Materiel,2024-01-03 12:00:01.240844,2024-01-03 12:24:01.240844,24,Attente_Materiel sur M2-4,OP2,True
33,L2,M2-3,Panne_Electrique,2024-01-03 19:16:01.240844,2024-01-03 19:53:01.240844,37,Panne_Electrique sur M2-3,OP12,True
34,L3,M3-1,Maintenance_Preventive,2024-01-03 17:41:01.240844,2024-01-03 19:22:01.240844,101,Maintenance_Preventive sur M3-1,OP7,True
35,L3,M3-2,Nettoyage,2024-01-03 15:52:01.240844,2024-01-03 16:23:01.240844,31,Nettoyage sur M3-2,OP2,True
36,L3,M3-2,Bourrage,2024-01-03 14:38:01.240844,2024-01-03 14:45:01.240844,7,Bourrage sur M3-2,OP1,True
37,L3,M3-2,Panne_Mecanique,2024-01-03 11:29:01.240844,2024-01-03 13:38:01.240844,129,Panne_Mecanique sur M3-2,OP6,True
38,L3,M3-1,Attente_Materiel,2024-01-03 09:32:01.240844,2024-01-03 10:20:01.240844,48,Attente_Materiel sur M3-1,OP1,True
39,L3,M3-2,Probleme_Qualite,2024-01-03 18:32:01.240844,2024-01-03 20:30:01.240844,118,Probleme_Qualite sur M3-2,OP2,True
40,L1,M1-1,Attente_Materiel,2024-01-04 16:54:01.240844,2024-01-04 17:11:01.240844,17,Attente_Materiel sur M1-1,OP4,True
41,L1,M1-3,Panne_Mecanique,2024-01-04 13:46:01.240844,2024-01-04 15:17:01.240844,91,Panne_Mecanique sur M1-3,OP1,True
42,L1,M1-1,Attente_Materiel,2024-01-04 14:21:01.240844,2024-01-04 15:20:01.240844,59,Attente_Materiel sur M1-1,OP4,True
43,L1,M1-2,Attente_Materiel,2024-01-04 14:04:01.240844,2024-01-04 14:30:01.240844,26,Attente_Materiel sur M1-2,OP1,True
44,L1,M1-2,Probleme_Qualite,2024-01-04 18:08:01.240844,2024-01-04 19:31:01.240844,83,Probleme_Qualite sur M1-2,OP8,True
45,L1,M1-3,Attente_Operateur,2024-01-04 11:21:01.240844,2024-01-04 11:29:01.240844,8,Attente_Operateur sur M1-3,OP14,True
46,L1,M1-3,Attente_Materiel,2024-01-04 13:10:01.240844,2024-01-04 13:50:01.240844,40,Attente_Materiel sur M1-3,OP7,True
47,L1,M1-3,Attente_Operateur,2024-01-04 12:16:01.240844,2024-01-04 12:30:01.240844,14,Attente_Operateur sur M1-3,OP4,True
48,L1,M1-3,Maintenance_Preventive,2024-01-04 15:49:01.240844,2024-01-04 17:36:01.240844,107,Maintenance_Preventive sur M1-3,OP10,True
49,L1,M1-2,Probleme_Qualite,2024-01-04 13:25:01.240844,2024-01-04 14:45:01.240844,80,Probleme_Qualite sur M1-2,OP12,True
50,L2,M2-3,Maintenance_Preventive,2024-01-04 07:03:01.240844,2024-01-04 08:44:01.240844,101,Maintenance_Preventive sur M2-3,OP8,True
51,L2,M2-1,Nettoyage,2024-01-04 06:13:01.240844,2024-01-04 06:53:01.240844,40,Nettoyage sur M2-1,OP8,True
52,L2,M2-2,Probleme_Qualite,2024-01-04 05:45:01.240844,2024-01-04 07:38:01.240844,113,Probleme_Qualite sur M2-2,OP7,True
53,L2,M2-4,Panne_Electrique,2024-01-04 17:30:01.240844,2024-01-04 18:55:01.240844,85,Panne_Electrique sur M2-4,OP14,True
54,L2,M2-1,Nettoyage,2024-01-04 09:35:01.240844,2024-01-04 09:51:01.240844,16,Nettoyage sur M2-1,OP9,True
